,Name,Lat,Lon,x,y,u,v,w,Horizontal uncertainty,Vertical uncertainty,stake_height_change
GPS-Track4-3,Track 4-3,-76.7060996,159.2790827,513269.8701896077,-1356831.374,-0.153443633,-0.273524668,0.0281,0.0067,0.0293,0.0314125
GPS-Track5-3,Track 5-3,-76.74174167,159.2499834,512569.0685272694,-1352901.961,-0.112800717,-0.137334579,-0.0169,0.0067,0.0302,0.021
GPS-Xd,Xd,-76.75200762,159.1079776,515517.8304190859,-1350571.976,0.15718868607073871,-0.411808519,-0.0728,0.0065,0.0293,0.01055
GPS-Track4-9,Track 4-9,-76.74492391,159.1178233,515563.6376850065,-1351388.962,0.16159978054650614,-0.423583325,-0.0909,0.0073,0.0318,-0.0844125
GPS-Track4-5,Track 4-5,-76.71608441,159.2100516,514514.17447900993,-1355184.547,-0.111594114,-0.290953984,-0.049,0.0091,0.0416,0.0244375
GPS-Track5-2,Track 5-2,-76.73993975,159.2885464,511728.52735601086,-1353432.145,-0.095720767,-0.139146156,-0.0139,0.0067,0.0294,0.008
GPS-Track4-6,Track 4-6,-76.72219358,159.182248,514932.7909765173,-1354306.212,-0.059456029,-0.33652417,-0.0772,0.0079,0.0327,0.00845
GPS-Track4-10,Track 4-10,-76.75368712,159.1074133,515465.22181288217,-1350394.219,0.17241548011265698,-0.431016286,0.017699999999877036,0.0067,0.0299,-0.049575
GPS-Track5-6,Track 5-6,-76.74655472,159.1335352,515129.0798584429,-1351362.552,0.11592390689812372,-0.376408037,-0.0304,0.0077,0.0332,-0.054
GPS-Track4-8,Track 4-8,-76.73690945,159.1375631,515412.1272290647,-1352390.724,0.11100259315632889,-0.356571512,-0.0201,0.0073,0.0307,-0.0383625
GPS-Track5-5,Track 5-5,-76.74535704,159.172671,514252.73469022836,-1351837.279,0.020248193666484844,-0.334939808,-0.0878,0.0067,0.0295,0.015775
GPS-Track4-15,Track 4-15,-76.7935234,159.0676706,514835.40379820607,-1345941.513,0.025104909338592683,-0.419548822,-0.0035,0.0685,0.3991,0.0115875
GPS-Xa,Xa,-76.75077009,159.0611424,516670.34720607696,-1350277.336,0.20506908958367198,-0.440956802,0.024499999999989086,0.0606,0.3407,-0.35425
GPS-Track4-11,Track 4-11,-76.75872877,159.1010682,515416.9032934761,-1349818.659,,,,,,
GPS-Track4-12,Track 4-12,-76.76737393,159.0918376,515294.6338841645,-1348846.939,,,,,,
GPS-Track4-13,Track 4-13,-76.77600618,159.0818719,515190.1278327053,-1347869.823,,,,,,
GPS-Track4-14,Track 4-14,-76.78473168,159.0750711,515007.09301545564,-1346911.751,,,,,,
GPS-Track4-4,Track 4-4,-76.71321526,159.2285261,514189.15149968886,-1355645.68,,,,,,
GPS-Track4-7,Track 4-7,-76.72903065,159.1580644,515236.7209034205,-1353385.454,,,,,,
GPS-Track5-4,Track 5-4,-76.74334299,159.2121969,513398.58272903226,-1352398.863,,,,,,
GPS-Xb,Xb,-76.73289256,159.0687257,517194.5312005327,-1352183.533,,,,,,
GPS-Xc,Xc,-76.739947,159.0928927,516347.15150290984,-1351676.142,,,,,,
