Distance,E,N,Elev
0,507000,-1339500,2149.627441
500,507500,-1339500,2148.027832
1207.106781,508000,-1339000,2144.168457
1914.213562,508500,-1338500,2138.689209
2621.320344,509000,-1338000,2133.744629
3328.427125,509500,-1337500,2130.390137
3828.427125,510000,-1337500,2124.22876
4328.427125,510500,-1337500,2119.818604
4828.427125,511000,-1337500,2116.79248
5328.427125,511500,-1337500,2113.9375
5828.427125,512000,-1337500,2111.577393
6328.427125,512500,-1337500,2109.591553
7035.533906,513000,-1338000,2105.140381
7742.640687,513500,-1338500,2101.143066
8449.747468,514000,-1339000,2096.854248
9156.854249,514500,-1339500,2092.401855
9863.961031,515000,-1340000,2089.102051
10363.96103,515000,-1340500,2086.308594
11071.06781,515500,-1341000,2082.014893
11571.06781,515500,-1341500,2079.154541
12071.06781,515500,-1342000,2075.390137
12571.06781,515500,-1342500,2072.683105
13071.06781,515500,-1343000,2069.890137
13571.06781,515500,-1343500,2067.549805
14071.06781,515500,-1344000,2065.109375
14571.06781,515500,-1344500,2062.632568
15071.06781,515500,-1345000,2059.781006
15571.06781,515500,-1345500,2057.151367
16071.06781,515500,-1346000,2054.165039
16571.06781,515500,-1346500,2051.195801
17071.06781,515500,-1347000,2047.133423
17571.06781,515500,-1347500,2043.613525
18071.06781,515500,-1348000,2041.772461
18571.06781,515500,-1348500,2040.616699
19071.06781,515500,-1349000,2039.673584
19571.06781,515500,-1349500,2037.849976
20071.06781,515500,-1350000,2035.346558
20571.06781,515500,-1350500,2032.625
21071.06781,515500,-1351000,2030.040161
21571.06781,515500,-1351500,2027.730591
22071.06781,515500,-1352000,2026.003784
22778.17459,515000,-1352500,2023.923828
23485.28137,514500,-1353000,2022.21875
23985.28137,514000,-1353000,2018.287231
24485.28137,513500,-1353000,2012.454956
24985.28137,513000,-1353000,2009.880981
25485.28137,512500,-1353000,2006.643555
25985.28137,512000,-1353000,2006.469116
26485.28137,512000,-1353500,2002.070313
27192.38816,511500,-1354000,1987.203735
27899.49494,511000,-1354500,1983.194824
28606.60172,510500,-1355000,1971.658081
29106.60172,510000,-1355000,1937.105713
29606.60172,509500,-1355000,1914.417603
30106.60172,509000,-1355000,1899.335083
