Distance,E,N,Elev
0,506500,-1349500,2013.55481
500,506500,-1349000,1983.207397
1000,506500,-1348500,1961.36731
1500,507000,-1348500,1934.574219
2000,507500,-1348500,1898.911621
2500,508000,-1348500,1858.653076
3000,508500,-1348500,1816.698608
3500,509000,-1348500,1770.60437
4207.106781,509500,-1349000,1731.066406
4914.213562,510000,-1349500,1679.48291
5414.213562,510000,-1350000,1687.92749
5914.213562,510000,-1350500,1692.834717
6414.213562,510000,-1351000,1696.954834
6914.213562,510000,-1351500,1699.479858
7414.213562,510000,-1352000,1698.914429
7914.213562,510000,-1352500,1700.320068
8621.320344,509500,-1353000,1698.960083
9328.427125,509000,-1353500,2006.330566
