Distance,E,N,Elev
0,506500,-1349500,2130.558838
500,506500,-1349000,2117.140625
1000,506500,-1348500,2113.101563
1500,507000,-1348500,2103.270264
2000,507500,-1348500,2090.171631
2500,508000,-1348500,2077.620117
3000,508500,-1348500,2069.305176
3500,509000,-1348500,2063.57251
4207.106781,509500,-1349000,2052.519775
4914.213562,510000,-1349500,2039.907837
5414.213562,510000,-1350000,2030.547729
5914.213562,510000,-1350500,2019.301147
6414.213562,510000,-1351000,2010.915161
6914.213562,510000,-1351500,2005.87439
7414.213562,510000,-1352000,2001.365234
7914.213562,510000,-1352500,1997.224365
8621.320344,509500,-1353000,1988.833862
9328.427125,509000,-1353500,2012.321777
