Distance,E,N,Elev
0,507000,-1339500,1833.038208
500,507500,-1339500,1788.982422
1207.106781,508000,-1339000,1720.508545
1914.213562,508500,-1338500,1643.757324
2621.320344,509000,-1338000,1563.490845
3328.427125,509500,-1337500,1478.189941
3828.427125,510000,-1337500,1430.969971
4328.427125,510500,-1337500,1390.845703
4828.427125,511000,-1337500,1361.19165
5328.427125,511500,-1337500,1349.144043
5828.427125,512000,-1337500,1350.580322
6328.427125,512500,-1337500,1349.929443
7035.533906,513000,-1338000,1371.85022
7742.640687,513500,-1338500,1305.072754
8449.747468,514000,-1339000,1154.715454
9156.854249,514500,-1339500,1023.426025
9863.961031,515000,-1340000,997.8391113
10363.96103,515000,-1340500,1066.660645
11071.06781,515500,-1341000,1109.38208
11571.06781,515500,-1341500,1136.169922
12071.06781,515500,-1342000,1153.405396
12571.06781,515500,-1342500,1162.196655
13071.06781,515500,-1343000,1160.547607
13571.06781,515500,-1343500,1144.177979
14071.06781,515500,-1344000,1114.520264
14571.06781,515500,-1344500,1080.991577
15071.06781,515500,-1345000,1052.606445
15571.06781,515500,-1345500,1030.260254
16071.06781,515500,-1346000,1009.117798
16571.06781,515500,-1346500,992.0736084
17071.06781,515500,-1347000,980.5383301
17571.06781,515500,-1347500,978.798584
18071.06781,515500,-1348000,985.9865723
18571.06781,515500,-1348500,996.6473389
19071.06781,515500,-1349000,1005.846313
19778.17459,516000,-1349500,1008.141602
20278.17459,516000,-1350000,1005.150635
20778.17459,516000,-1350500,1003.243164
21278.17459,516000,-1351000,1005.32959
21778.17459,516000,-1351500,1012.304077
22278.17459,516000,-1352000,1022.354004
22778.17459,516000,-1352500,1035.082764
23278.17459,516000,-1353000,1049.789795
23778.17459,516000,-1353500,1067.018066
24278.17459,516000,-1354000,1085.918579
24778.17459,516000,-1354500,1105.009277
25485.28137,515500,-1355000,1165.791016
26192.38816,515000,-1355500,1224.330322
26692.38816,514500,-1355500,1262.721069
27399.49494,514000,-1356000,1318.12561
28106.60172,513500,-1356500,1372.372437
28813.7085,513000,-1357000,1410.146729
29520.81528,512500,-1357500,1416.930664
30020.81528,512500,-1358000,1402.104248
30520.81528,512500,-1358500,1396.803589
31020.81528,512500,-1359000,1396.221802
31520.81528,512500,-1359500,1400.078613
