Distance,E,N,Elev
0,508000,-1354000,1844.750185
125,508000,-1354125,1842.796155
250,508000,-1354250,1840.842285
375,508000,-1354375,1839.234368
500,508000,-1354500,1837.658568
641.4213562,508100,-1354600,1832.109035
782.8427125,508200,-1354700,1824.045597
924.2640687,508300,-1354800,1816.466904
1065.685425,508400,-1354900,1808.034467
1207.106781,508500,-1355000,1799.581029
1332.106781,508625,-1355000,1783.832331
1457.106781,508750,-1355000,1772.481688
1582.106781,508875,-1355000,1759.583067
1707.106781,509000,-1355000,1746.68458
1811.730615,509104.2332,-1354990.968,1751.871526
1916.354448,509208.4664,-1354981.935,1756.264717
2020.978282,509312.6997,-1354972.903,1756.509386
2125.602115,509416.9329,-1354963.871,1751.020803
2230.225948,509521.1661,-1354954.838,1758.728678
2334.849782,509625.3993,-1354945.806,1757.931627
2439.473615,509729.6325,-1354936.774,1783.124887
2544.097449,509833.8658,-1354927.742,1804.638133
2648.721282,509938.099,-1354918.709,1820.368045
2753.345116,510042.3322,-1354909.677,1830.02592
2857.968949,510146.5654,-1354900.645,1849.051105
2962.592783,510250.7986,-1354891.612,1839.314419
3067.216616,510355.0319,-1354882.58,1836.635186
3200.249456,510459.1606,-1354799.785,1771.437618
3333.282296,510563.2893,-1354716.991,1751.815821
3466.315136,510667.418,-1354634.196,1670.89833
3599.347976,510771.5467,-1354551.402,1649.447385
3732.380815,510875.6754,-1354468.607,1615.463422
3871.049338,510964.8772,-1354362.437,1605.987936
4009.71786,511054.0791,-1354256.268,1596.374514
4148.386382,511143.281,-1354150.098,1585.847248
4287.054905,511232.4828,-1354043.928,1574.645039
4425.723427,511321.6847,-1353937.759,1563.131671
4564.391949,511410.8866,-1353831.589,1551.627889
4703.060472,511500.0884,-1353725.42,1550.765326
4843.873456,511597.3702,-1353623.613,1540.228581
4984.686439,511694.6519,-1353521.807,1529.649504
5125.499423,511791.9337,-1353420,1519.31629
5266.312407,511889.2154,-1353318.194,1509.07527
5407.125391,511986.4972,-1353216.387,1498.651028
5547.938375,512083.7789,-1353114.581,1487.346951
5688.751359,512181.0606,-1353012.774,1475.423022
5829.564342,512278.3424,-1352910.968,1462.74022
5970.377326,512375.6241,-1352809.161,1449.412164
6098.107105,512475.9762,-1352730.14,1435.506227
6225.836884,512576.3283,-1352651.119,1419.887893
6353.566663,512676.6804,-1352572.098,1403.84668
6481.296442,512777.0325,-1352493.076,1388.011724
6609.026221,512877.3846,-1352414.055,1376.591099
6736.756,512977.7367,-1352335.034,1360.769142
6864.485779,513078.0888,-1352256.013,1344.602808
6979.71664,513105.2372,-1352144.026,1340.150926
7094.947501,513132.3856,-1352032.039,1323.804276
7210.178361,513159.534,-1351920.051,1319.288279
7325.409222,513186.6824,-1351808.064,1314.772144
7440.640083,513213.8308,-1351696.077,1296.315044
7554.592162,513216.2548,-1351582.151,1293.703004
7668.544241,513218.6787,-1351468.225,1291.091076
7782.49632,513221.1027,-1351354.298,1288.47903
7896.448399,513223.5266,-1351240.372,1285.869125
8010.400478,513225.9506,-1351126.446,1283.341752
8124.352557,513228.3746,-1351012.519,1280.814196
8238.304636,513230.7985,-1350898.593,1275.759281
8340.8862,513228.7247,-1350796.033,1273.229534
8443.467763,513226.6509,-1350693.472,1270.529988
8546.049327,513224.577,-1350590.911,1267.830709
8648.63089,513222.5032,-1350488.351,1265.131558
8751.212454,513220.4294,-1350385.79,1262.432286
8853.794017,513218.3555,-1350283.23,1259.727047
8956.375581,513216.2817,-1350180.669,1254.894112
9058.957144,513214.2078,-1350078.108,1250.065836
9161.538708,513212.134,-1349975.548,1245.237553
9264.120271,513210.0602,-1349872.987,1240.40939
9366.701835,513207.9863,-1349770.427,1235.575345
9469.283398,513205.9125,-1349667.866,1233.377343
9571.864962,513203.8387,-1349565.305,1245.003997
9674.446525,513201.7648,-1349462.745,1242.818701
9777.028088,513199.691,-1349360.184,1240.633386
9879.609652,513197.6172,-1349257.624,1238.448119
9982.191215,513195.5433,-1349155.063,1236.163539
10084.77278,513193.4695,-1349052.502,1233.877516
10187.13332,513177.7425,-1348951.357,1231.59161
10289.49387,513162.0155,-1348850.212,1229.30558
10391.85441,513146.2885,-1348749.067,1227.019351
10494.21495,513130.5615,-1348647.922,1224.965898
10596.5755,513114.8345,-1348546.777,1222.918096
10698.93604,513099.1075,-1348445.631,1235.136184
10801.29658,513083.3805,-1348344.486,1233.046846
10903.65712,513067.6535,-1348243.341,1230.957131
11006.01767,513051.9265,-1348142.196,1229.655168
11108.37821,513036.1995,-1348041.051,1228.381518
11210.73875,513020.4725,-1347939.906,1227.107874
11313.0993,513004.7455,-1347838.761,1239.831607
11415.45984,512989.0185,-1347737.615,1238.511794
11517.82038,512973.2915,-1347636.47,1238.151474
11620.18093,512957.5645,-1347535.325,1237.836313
11722.54147,512941.8375,-1347434.18,1237.521146
11824.90201,512926.1104,-1347333.035,1237.205985
11927.26256,512910.3834,-1347231.89,1236.890952
12029.6231,512894.6564,-1347130.744,1251.061728
12132.98099,512874.6786,-1347029.336,1251.361064
12236.33888,512854.7007,-1346927.927,1251.660406
12339.69677,512834.7228,-1346826.518,1251.959741
12443.05466,512814.745,-1346725.109,1252.259084
12546.41255,512794.7671,-1346623.701,1266.383455
12649.77044,512774.7892,-1346522.292,1266.655421
12753.12833,512754.8114,-1346420.883,1266.92738
12856.48621,512734.8335,-1346319.474,1267.199343
12959.8441,512714.8556,-1346218.066,1267.471302
13063.20199,512694.8778,-1346116.657,1281.579261
13166.55988,512674.8999,-1346015.248,1281.561002
13269.91777,512654.922,-1345913.839,1281.542627
13373.27566,512634.9442,-1345812.43,1281.524375
13476.63355,512614.9663,-1345711.022,1281.50599
13579.99144,512594.9884,-1345609.613,1295.360338
13683.34933,512575.0106,-1345508.204,1295.284419
13786.70722,512555.0327,-1345406.795,1295.208626
13890.06511,512535.0548,-1345305.387,1295.1327
13993.423,512515.077,-1345203.978,1295.056773
14096.78088,512495.0991,-1345102.569,1308.388749
14200.13877,512475.1212,-1345001.16,1309.085434
14303.49666,512455.1433,-1344899.752,1310.478661
14406.85455,512435.1655,-1344798.343,1311.175347
14510.21244,512415.1876,-1344696.934,1313.411557
14613.57033,512395.2097,-1344595.525,1327.20712
14716.92822,512375.2319,-1344494.117,1329.520802
