Distance,E,N,Elev
0,508000,-1354000,1910.349609
125,508000,-1354125,1912.316406
250,508000,-1354250,1912.535156
375,508000,-1354375,1911.925781
500,508000,-1354500,1910.734375
641.4213562,508100,-1354600,1911.681641
782.8427125,508200,-1354700,1907.884766
924.2640687,508300,-1354800,1903.441406
1065.685425,508400,-1354900,1898.394531
1207.106781,508500,-1355000,1893.869141
1332.106781,508625,-1355000,1888.75
1457.106781,508750,-1355000,1878.271484
1582.106781,508875,-1355000,1867.667969
1707.106781,509000,-1355000,1861.625
1811.730615,509104.2332,-1354990.968,1863.347656
1916.354448,509208.4664,-1354981.935,1867.326172
2020.978282,509312.6997,-1354972.903,1872.035156
2125.602115,509416.9329,-1354963.871,1876.560547
2230.225948,509521.1661,-1354954.838,1881.568359
2334.849782,509625.3993,-1354945.806,1885.580078
2439.473615,509729.6325,-1354936.774,1889.431641
2544.097449,509833.8658,-1354927.742,1892.798828
2648.721282,509938.099,-1354918.709,1897.294922
2753.345116,510042.3322,-1354909.677,1904.308594
2857.968949,510146.5654,-1354900.645,1912.521484
2962.592783,510250.7986,-1354891.612,1928.625
3067.216616,510355.0319,-1354882.58,1934.537109
3200.249456,510459.1606,-1354799.785,1940.011719
3333.282296,510563.2893,-1354716.991,1942.404297
3466.315136,510667.418,-1354634.196,1943.75
3599.347976,510771.5467,-1354551.402,1945.304688
3732.380815,510875.6754,-1354468.607,1946.279297
3871.049338,510964.8772,-1354362.437,1946.587891
4009.71786,511054.0791,-1354256.268,1946.626953
4148.386382,511143.281,-1354150.098,1947.222656
4287.054905,511232.4828,-1354043.928,1948.201172
4425.723427,511321.6847,-1353937.759,1949.935547
4564.391949,511410.8866,-1353831.589,1951.634766
4703.060472,511500.0884,-1353725.42,1954.412109
4843.873456,511597.3702,-1353623.613,1956.261719
4984.686439,511694.6519,-1353521.807,1959.515625
5125.499423,511791.9337,-1353420,1962.919922
5266.312407,511889.2154,-1353318.194,1965.966797
5407.125391,511986.4972,-1353216.387,1968.113281
5547.938375,512083.7789,-1353114.581,1969.296875
5688.751359,512181.0606,-1353012.774,1969.519531
5829.564342,512278.3424,-1352910.968,1969.279297
5970.377326,512375.6241,-1352809.161,1968.890625
6098.107105,512475.9762,-1352730.14,1968.773438
6225.836884,512576.3283,-1352651.119,1968.382813
6353.566663,512676.6804,-1352572.098,1967.904297
6481.296442,512777.0325,-1352493.076,1967.443359
6609.026221,512877.3846,-1352414.055,1967.984375
6736.756,512977.7367,-1352335.034,1968.113281
6864.485779,513078.0888,-1352256.013,1969.242188
6979.71664,513105.2372,-1352144.026,1970.962891
7094.947501,513132.3856,-1352032.039,1971.675781
7210.178361,513159.534,-1351920.051,1972.988281
7325.409222,513186.6824,-1351808.064,1974.634766
7440.640083,513213.8308,-1351696.077,1980.308594
7554.592162,513216.2548,-1351582.151,1982.644531
7668.544241,513218.6787,-1351468.225,1984.712891
7782.49632,513221.1027,-1351354.298,1986.720703
7896.448399,513223.5266,-1351240.372,1988.509766
8010.400478,513225.9506,-1351126.446,1990.035156
8124.352557,513228.3746,-1351012.519,1991.523438
8238.304636,513230.7985,-1350898.593,1993.439453
8340.8862,513228.7247,-1350796.033,1994.34375
8443.467763,513226.6509,-1350693.472,1995.130859
8546.049327,513224.577,-1350590.911,1995.849609
8648.63089,513222.5032,-1350488.351,1996.382813
8751.212454,513220.4294,-1350385.79,1996.9375
8853.794017,513218.3555,-1350283.23,1997.615234
8956.375581,513216.2817,-1350180.669,1998.214844
9058.957144,513214.2078,-1350078.108,1998.927734
9161.538708,513212.134,-1349975.548,1999.474609
9264.120271,513210.0602,-1349872.987,2000.191406
9366.701835,513207.9863,-1349770.427,2000.847656
9469.283398,513205.9125,-1349667.866,2001.550781
9571.864962,513203.8387,-1349565.305,2002.382813
9674.446525,513201.7648,-1349462.745,2002.892578
9777.028088,513199.691,-1349360.184,2003.652344
9879.609652,513197.6172,-1349257.624,2004.234375
9982.191215,513195.5433,-1349155.063,2004.853516
10084.77278,513193.4695,-1349052.502,2005.236328
10187.13332,513177.7425,-1348951.357,2005.5625
10289.49387,513162.0155,-1348850.212,2005.785156
10391.85441,513146.2885,-1348749.067,2006.048828
10494.21495,513130.5615,-1348647.922,2006.279297
10596.5755,513114.8345,-1348546.777,2006.525391
10698.93604,513099.1075,-1348445.631,2007.005859
10801.29658,513083.3805,-1348344.486,2007.007813
10903.65712,513067.6535,-1348243.341,2007.136719
11006.01767,513051.9265,-1348142.196,2007.337891
11108.37821,513036.1995,-1348041.051,2007.623047
11210.73875,513020.4725,-1347939.906,2008.078125
11313.0993,513004.7455,-1347838.761,2008.441406
11415.45984,512989.0185,-1347737.615,2008.916016
11517.82038,512973.2915,-1347636.47,2009.626953
11620.18093,512957.5645,-1347535.325,2010.189453
11722.54147,512941.8375,-1347434.18,2010.958984
11824.90201,512926.1104,-1347333.035,2011.792969
11927.26256,512910.3834,-1347231.89,2012.771484
12029.6231,512894.6564,-1347130.744,2013.939453
12132.98099,512874.6786,-1347029.336,2014.597656
12236.33888,512854.7007,-1346927.927,2015.664063
12339.69677,512834.7228,-1346826.518,2016.6875
12443.05466,512814.745,-1346725.109,2017.705078
12546.41255,512794.7671,-1346623.701,2019.181641
12649.77044,512774.7892,-1346522.292,2020.207031
12753.12833,512754.8114,-1346420.883,2021.279297
12856.48621,512734.8335,-1346319.474,2022.146484
12959.8441,512714.8556,-1346218.066,2023.154297
13063.20199,512694.8778,-1346116.657,2024.578125
13166.55988,512674.8999,-1346015.248,2025.263672
13269.91777,512654.922,-1345913.839,2025.664063
13373.27566,512634.9442,-1345812.43,2025.970703
13476.63355,512614.9663,-1345711.022,2026.275391
13579.99144,512594.9884,-1345609.613,2027.242188
13683.34933,512575.0106,-1345508.204,2027.140625
13786.70722,512555.0327,-1345406.795,2026.923828
13890.06511,512535.0548,-1345305.387,2026.640625
13993.423,512515.077,-1345203.978,2026.617188
14096.78088,512495.0991,-1345102.569,2026.494141
14200.13877,512475.1212,-1345001.16,2026.126953
14303.49666,512455.1433,-1344899.752,2025.75
14406.85455,512435.1655,-1344798.343,2025.732422
14510.21244,512415.1876,-1344696.934,2025.771484
14613.57033,512395.2097,-1344595.525,2025.626953
14716.92822,512375.2319,-1344494.117,2025.912109
14820.28611,512355.254,-1344392.708,2026.353516
14923.644,512335.2761,-1344291.299,2027.167969
15027.00189,512315.2983,-1344189.89,2028.205078
15130.35978,512295.3204,-1344088.481,2029.513672
15233.71767,512275.3425,-1343987.073,2031.044922
15337.07556,512255.3647,-1343885.664,2032.664063
15440.43344,512235.3868,-1343784.255,2034.361328
15543.79133,512215.4089,-1343682.846,2036.15625
15647.14922,512195.4311,-1343581.438,2039.566406
15750.50711,512175.4532,-1343480.029,2041.125
15853.865,512155.4753,-1343378.62,2042.753906
15957.22289,512135.4975,-1343277.211,2044.333984
16060.58078,512115.5196,-1343175.803,2045.625
16163.93867,512095.5417,-1343074.394,2047.789063
16267.29656,512075.5639,-1342972.985,2048.898438
16370.65445,512055.586,-1342871.576,2049.751953
16474.01234,512035.6081,-1342770.167,2050.619141
16577.37023,512015.6303,-1342668.759,2051.373047
16680.72812,511995.6524,-1342567.35,2051.986328
16784.086,511975.6745,-1342465.941,2052.470703
16887.44389,511955.6967,-1342364.532,2052.822266
16990.80178,511935.7188,-1342263.124,2053.259766
17094.15967,511915.7409,-1342161.715,2053.863281
17197.51756,511895.763,-1342060.306,2054.441406
17300.87545,511875.7852,-1341958.897,2055.171875
17404.23334,511855.8073,-1341857.489,2056.001953
17507.59123,511835.8294,-1341756.08,2056.804688
17610.94912,511815.8516,-1341654.671,2057.558594
17714.30701,511795.8737,-1341553.262,2058.892578
17817.6649,511775.8958,-1341451.853,2059.726563
17921.02279,511755.918,-1341350.445,2060.359375
18024.38068,511735.9401,-1341249.036,2061.015625
18155.14498,511651.9094,-1341148.845,2062.152344
18285.90928,511567.8786,-1341048.655,2062.962891
18416.67358,511483.8479,-1340948.464,2063.806641
18547.43787,511399.8171,-1340848.274,2064.523438
18678.20217,511315.7864,-1340748.083,2064.503906
18808.96647,511231.7556,-1340647.893,2065.15625
18939.73077,511147.7249,-1340547.702,2066.119141
19070.49507,511063.6942,-1340447.512,2067.324219
19201.25937,510979.6634,-1340347.321,2069.119141
19332.02367,510895.6327,-1340247.131,2070.8125
19462.78797,510811.6019,-1340146.94,2071.833984
19593.55227,510727.5712,-1340046.75,2074.132813
19724.31657,510643.5405,-1339946.559,2076.361328
19855.08087,510559.5097,-1339846.369,2078.537109
19985.84517,510475.479,-1339746.178,2080.779297
20116.60947,510391.4482,-1339645.988,2082.767578
20247.37377,510307.4175,-1339545.797,2083.482422
20378.13807,510223.3867,-1339445.607,2085.310547
20508.90237,510139.356,-1339345.416,2086.757813
20639.66667,510055.3253,-1339245.226,2088.076172
20770.43097,509971.2945,-1339145.035,2089.148438
20875.17046,509868.1306,-1339126.937,2089.933594
20979.90995,509764.9667,-1339108.838,2090.572266
21084.64944,509661.8028,-1339090.739,2091.458984
21189.38893,509558.6389,-1339072.64,2092.398438
21294.12842,509455.475,-1339054.541,2093.320313
21398.86791,509352.3111,-1339036.442,2094.376953
21503.6074,509249.1472,-1339018.343,2095.339844
21608.34689,509145.9833,-1339000.244,2096.273438
21713.08638,509042.8194,-1338982.145,2097.791016
21817.82587,508939.6555,-1338964.046,2098.833984
21922.56536,508836.4917,-1338945.947,2100.142578
22027.30485,508733.3278,-1338927.848,2101.626953
22132.04434,508630.1639,-1338909.749,2103.363281
22236.78383,508527,-1338891.65,2104.953125
22341.52332,508423.8361,-1338873.552,2106.251953
22452.63429,508322.1335,-1338918.298,2107.441406
22563.74525,508220.4309,-1338963.044,2108.265625
22674.85622,508118.7283,-1339007.79,2108.828125
22785.96719,508017.0258,-1339052.537,2109.365234
22897.07816,507915.3232,-1339097.283,2110.107422
23008.18913,507813.6206,-1339142.029,2110.753906
23119.3001,507711.918,-1339186.776,2111.431641
23230.41106,507610.2155,-1339231.522,2112.330078
23341.52203,507508.5129,-1339276.268,2112.919922
23452.633,507406.8103,-1339321.015,2113.607422
23563.74397,507305.1077,-1339365.761,2113.984375
23674.85494,507203.4052,-1339410.507,2114.566406
23785.9659,507101.7026,-1339455.254,2114.865234
23897.07687,507000,-1339500,2115.082031
